dataset,model_name,rmse_scores,mae_scores,mape_scores,rmse_mean,mae_mean,mape_mean,rmse_std,mae_std,mape_std
daily,AdaBoost,"[np.float64(180241.46157475302), np.float64(144247.30058867548), np.float64(56015.46853299036), np.float64(123171.06610490687), np.float64(101188.38713738378), np.float64(148525.6746822543), np.float64(96862.74945660883), np.float64(141418.52788021992), np.float64(67825.26900475894), np.float64(103314.14010527791)]","[147496.37710912086, 101087.3454787151, 44404.708032774135, 90831.41157111354, 74381.14798411199, 102034.67989213877, 71777.28217375893, 90544.7179852451, 51669.190336676154, 76580.2547349577]","[np.float64(30.596904833741995), np.float64(67.71535364573855), np.float64(8.954661541706859), np.float64(12.726114889963617), np.float64(9.380077539347303), np.float64(45.972306525420635), np.float64(9.048434313123202), np.float64(9.966101207846426), np.float64(6.891918172624754), np.float64(8.952487010605187)]",116281.00450678295,85080.71152986123,21.02043596801185,36530.84860730039,27634.900521215324,19.635106579612113
daily,XGBoost,"[np.float64(160691.32193165334), np.float64(120527.48338914018), np.float64(58160.60742821252), np.float64(132631.19017069248), np.float64(85501.89043434837), np.float64(125108.66653770619), np.float64(109624.87980909973), np.float64(120720.80797418971), np.float64(59945.23923689719), np.float64(83360.62217086741)]","[136515.6472051724, 79843.51399425289, 39637.392408045984, 92468.73375574712, 60247.257902298865, 82874.41426724136, 76949.6523304598, 81142.94760344825, 44671.42309770115, 64891.97051724139]","[np.float64(27.570462368692912), np.float64(63.41351341267203), np.float64(7.633616387924662), np.float64(12.563749798840728), np.float64(7.750245340325485), np.float64(44.15512588598194), np.float64(9.585570740271299), np.float64(9.53075241297996), np.float64(6.098318206720319), np.float64(8.081352109918013)]",105627.27090828071,75924.29530816092,19.638270666432735,31380.511406182475,25880.385471073158,18.53608596424579
weekly,AdaBoost,"[np.float64(598086.8257101575), np.float64(634587.1846775684), np.float64(434613.64938675694), np.float64(700976.650971755), np.float64(580946.914460263), np.float64(687646.3521566918), np.float64(718146.6984513694), np.float64(331089.3010841654), np.float64(385222.4232251546), np.float64(661335.8254823517)]","[472108.3813041668, 538912.1182569442, 308469.6235177348, 648956.5543499808, 448020.71556334314, 536898.322498359, 407145.58460144984, 274715.92117580934, 347335.1529705133, 566279.3489877066]","[np.float64(9.542688358322426), np.float64(12.781797207970879), np.float64(8.307295364537753), np.float64(12.670955022708855), np.float64(7.8701543682387385), np.float64(9.117888481743574), np.float64(6.451481756102305), np.float64(5.0860579475302545), np.float64(6.789877512683481), np.float64(9.310922195887857)]",573265.1825606234,454884.1723226008,8.792911821572613,132593.12138623584,114868.33982215753,2.3708447150102367
weekly,XGBoost,"[np.float64(623093.4329208436), np.float64(563579.0850764822), np.float64(305325.4971775055), np.float64(775793.6981567285), np.float64(617645.5501048015), np.float64(791232.4711267614), np.float64(815749.8404191461), np.float64(481969.13742824894), np.float64(523175.9548489181), np.float64(454891.55874542485)]","[373184.7290083333, 442626.1502583334, 258048.66466666668, 710319.528, 512955.08675, 667859.3217499999, 497705.54241666687, 390634.4690833334, 420526.2414166665, 384952.7353333335]","[np.float64(7.375806369028109), np.float64(10.069035810045095), np.float64(7.056983448265333), np.float64(13.855324314551362), np.float64(9.160758849860214), np.float64(11.553847246956831), np.float64(8.029464704809714), np.float64(7.392496027114453), np.float64(8.275695808948882), np.float64(6.441998086780842)]",595245.622600486,465881.24686833343,8.921141066636084,156105.45500316255,130525.99451297014,2.195680305053114
monthly,AdaBoost,"[np.float64(4195691.120676667), np.float64(1197601.3703672055), np.float64(617962.1163062158), np.float64(3141270.723944233), np.float64(3365882.227016239), np.float64(2479902.914708402), np.float64(2440640.0119342646), np.float64(1358044.2894409806), np.float64(1329955.8732846251), np.float64(4415087.672772319)]","[4185186.647499999, 1187073.563500002, 559651.952333333, 2920981.8565000016, 3253904.8198500015, 2422124.200158732, 2393977.014142856, 1254636.2980047613, 1247773.2480756417, 4218302.669038096]","[np.float64(19.081234079690773), np.float64(5.142343003684521), np.float64(2.373007524643474), np.float64(11.16164987829628), np.float64(14.344695816400064), np.float64(9.498693855386769), np.float64(10.54806233905615), np.float64(5.590376674333486), np.float64(5.103586373624336), np.float64(14.848701001712358)]",2454203.832045115,2364361.2269103425,9.76923505468282,1248929.0950286598,1223890.19150151,5.01409185752512
monthly,XGBoost,"[np.float64(1548393.392599579), np.float64(1864246.2528773304), np.float64(925322.94312848), np.float64(2473611.473280009), np.float64(2204627.1548667992), np.float64(2327872.735786167), np.float64(1628767.655702158), np.float64(2795968.728827543), np.float64(1088541.4732211032), np.float64(3433435.027652486)]","[1519699.1124999989, 1735855.0270000007, 919959.1235000007, 2189004.3160000015, 2186104.2925000004, 2324046.511, 1625804.959999999, 2708226.0374999996, 790425.2139999997, 3223209.0475000013]","[np.float64(6.916984630874776), np.float64(7.53124608409871), np.float64(3.9334043119034066), np.float64(8.293076291695174), np.float64(9.737950498553673), np.float64(9.148764896703646), np.float64(7.112814628512082), np.float64(12.068723103005969), np.float64(3.2870243280028695), np.float64(11.30620353785974)]",2029078.6837941657,1922233.3641500003,7.933619231121005,734806.4787429463,719913.4998805252,2.698083439704847
